Store,Address,City,State,Full Address,lat,lon
Ashbury Market,205 Fredrick St,San Francisco,California,"205 Fredrick St, San Francisco, California",37.7670661,-122.4466132
Balboa Bi Rite,2449 Balboa Street,San Francisco,California,"2449 Balboa Street, San Francisco, California",37.7760691,-122.4852573
Balboa Liquor & Deli,3524 Balboa St.,San Francisco,California,"3524 Balboa St., San Francisco, California",37.7759437,-122.4967536
Better Foods,3149 Balboa Street,San Francisco,California,"3149 Balboa Street, San Francisco, California",37.7757573,-122.4928297
Bryan's,3445 California St.,San Francisco,California,"3445 California St., San Francisco, California",37.7864626,-122.4508817
Cal Mart -San Francisco,3585 California St.,San Francisco,California,"3585 California St., San Francisco, California",37.7861846,-122.452872
Canyon Market,2815 Diamond Street,San Francisco,California,"2815 Diamond Street, San Francisco, California",37.7340832,-122.4336521
Chloe's,1399 Church St.,San Francisco,California,"1399 Church St., San Francisco, California",37.7486499,-122.4269718
Cindy,2084 Hayes St,San Francisco,California,"2084 Hayes St, San Francisco, California",37.7734499,-122.450826
CVS #10188-Haight St.,499 Haight St,San Francisco,California,"499 Haight St, San Francisco, California",37.7719419,-122.4301479
CVS #4675 - SF,377 32nd Ave.,San Francisco,California,"377 32nd Ave., San Francisco, California",37.7820741,-122.4928931
Denhard's Market,701 10th Ave.,San Fransisco,California,"701 10th Ave., San Fransisco, California",37.7750284,-122.4683737
Drink Liquor/Jong & Chung,601 - 2nd Ave,San Francisco,California,"601 - 2nd Ave, San Francisco, California",37.777278,-122.4598907
Eureka Mkt. - S.F.,4151 - 17th Street,San Francisco,California,"4151 - 17th Street, San Francisco, California",37.7621219,-122.4385676
Falletti Foods - SF,308 Broderick Street,San Francisco,California,"308 Broderick Street, San Francisco, California",37.7732175,-122.4389052
Food 24 Hr. Mkt.-Fulton&Divis.,793 Divisadero,San Francisco,California,"793 Divisadero, San Francisco, California",37.7767348,-122.438334
